DATE,AS30
1979-12-31,500.0
1980-01-02,516.4
1980-01-03,523.5
1980-01-04,513.2
1980-01-07,518.1
1980-01-08,515.7
1980-01-09,520.2
1980-01-10,525.8
1980-01-11,532.7
1980-01-14,549.2
1980-01-15,547.2
1980-01-16,550.1
1980-01-17,559.9
1980-01-18,559.0
1980-01-21,568.4
1980-01-22,560.5
1980-01-23,547.8
1980-01-24,559.3
1980-01-25,568.8
1980-01-29,572.6
1980-01-30,578.8
1980-01-31,586.0
1980-02-01,591.9
1980-02-04,591.3
1980-02-05,587.7
1980-02-06,586.8
1980-02-07,597.4
1980-02-08,607.3
1980-02-11,619.4
1980-02-12,632.3
1980-02-13,623.3
1980-02-14,638.6
1980-02-15,620.7
1980-02-18,615.0
1980-02-19,610.1
1980-02-20,604.1
1980-02-21,600.5
1980-02-22,604.8
1980-02-25,584.6
1980-02-26,576.3
1980-02-27,585.0
1980-02-28,594.7
1980-02-29,604.6
1980-03-03,606.9
1980-03-04,597.3
1980-03-05,587.4
1980-03-06,591.1
1980-03-07,579.4
1980-03-10,562.6
1980-03-11,550.4
1980-03-12,550.2
1980-03-13,544.6
1980-03-14,531.5
1980-03-17,520.3
1980-03-18,510.7
1980-03-19,520.4
1980-03-20,532.2
1980-03-21,525.2
1980-03-24,525.3
1980-03-25,519.3
1980-03-26,514.2
1980-03-27,516.3
1980-03-28,509.1
1980-03-31,513.3
1980-04-01,515.1
1980-04-02,522.8
1980-04-03,524.7
1980-04-08,527.0
1980-04-09,532.2
1980-04-10,529.0
1980-04-11,521.5
1980-04-14,521.4
1980-04-15,523.3
1980-04-16,520.4
1980-04-17,524.7
1980-04-18,526.4
1980-04-21,523.2
1980-04-22,523.8
1980-04-23,523.3
1980-04-24,525.6
1980-04-28,532.0
1980-04-29,533.0
1980-04-30,529.1
1980-05-01,531.0
1980-05-02,531.0
1980-05-05,529.5
1980-05-06,530.4
1980-05-07,531.9
1980-05-08,533.1
1980-05-09,537.1
1980-05-12,540.8
1980-05-13,546.5
1980-05-14,549.6
1980-05-15,559.9
1980-05-16,561.4
1980-05-19,563.2
1980-05-20,562.8
1980-05-21,561.9
1980-05-22,563.9
1980-05-23,568.5
1980-05-26,580.7
1980-05-27,588.2
1980-05-28,592.4
1980-05-29,595.0
1980-05-30,594.7
1980-06-02,602.3
1980-06-03,602.0
1980-06-04,600.8
1980-06-05,609.3
1980-06-06,606.9
1980-06-09,611.4
1980-06-10,604.1
1980-06-11,600.6
1980-06-12,603.3
1980-06-13,608.8
1980-06-17,609.9
1980-06-18,603.7
1980-06-19,605.7
1980-06-20,613.5
1980-06-23,619.4
1980-06-24,618.9
1980-06-25,618.2
1980-06-26,626.3
1980-06-27,626.5
1980-06-30,628.5
1980-07-01,635.6
1980-07-02,637.0
1980-07-03,635.5
1980-07-04,639.0
1980-07-07,644.1
1980-07-08,645.1
1980-07-09,643.6
1980-07-10,636.6
1980-07-11,637.9
1980-07-14,627.5
1980-07-15,626.1
1980-07-16,626.7
1980-07-17,635.6
1980-07-18,639.5
1980-07-21,639.4
1980-07-22,634.7
1980-07-23,631.8
1980-07-24,633.7
1980-07-25,631.5
1980-07-28,634.0
1980-07-29,636.8
1980-07-30,636.8
1980-07-31,636.9
1980-08-01,634.0
1980-08-04,632.9
1980-08-05,633.8
1980-08-06,640.0
1980-08-07,643.3
1980-08-08,651.1
1980-08-11,661.4
1980-08-12,660.2
1980-08-13,658.2
1980-08-14,661.0
1980-08-15,667.3
1980-08-18,670.6
1980-08-19,667.8
1980-08-20,669.3
1980-08-21,674.7
1980-08-22,677.7
1980-08-25,675.8
1980-08-26,678.0
1980-08-27,675.5
1980-08-28,665.3
