DATE,EMVFINCRISES
1/1/1985,0.08074
1/2/1985,0.16174
1/3/1985,0
1/4/1985,0.07129
1/5/1985,0
1/6/1985,0.06578
1/7/1985,0
1/8/1985,0.41913
1/9/1985,0.07282
1/10/1985,0.06266
1/11/1985,0
1/12/1985,0.06413
1/1/1986,0.06576
1/2/1986,0.08079
1/3/1986,0
1/4/1986,0.06526
1/5/1986,0.13884
1/6/1986,0
1/7/1986,0.07286
1/8/1986,0.06787
1/9/1986,0.06892
1/10/1986,0.06405
1/11/1986,0.12522
1/12/1986,0
1/1/1987,0.1188
1/2/1987,0.29422
1/3/1987,0.21068
1/4/1987,0
1/5/1987,0.1161
1/6/1987,0.11038
1/7/1987,0
1/8/1987,0.05219
1/9/1987,0.19594
1/10/1987,1.26242
1/11/1987,1.06949
1/12/1987,0.43633
1/1/1988,0.16449
1/2/1988,0.16547
1/3/1988,0.1009
1/4/1988,0.33087
1/5/1988,0.11035
1/6/1988,0.20269
1/7/1988,0.12009
1/8/1988,0
1/9/1988,0.05033
1/10/1988,0.36267
1/11/1988,0.30431
1/12/1988,0.19918
1/1/1989,0.21868
1/2/1989,0
1/3/1989,0.09108
1/4/1989,0
1/5/1989,0
1/6/1989,0.09999
1/7/1989,0.05208
1/8/1989,0.05276
1/9/1989,0.0979
1/10/1989,0.6634
1/11/1989,0.15063
1/12/1989,0.25126
1/1/1990,0.14465
1/2/1990,0.59225
1/3/1990,0.13364
1/4/1990,0.04978
1/5/1990,0.08403
1/6/1990,0.34312
1/7/1990,0.11273
1/8/1990,0.09522
1/9/1990,0
1/10/1990,0.25703
1/11/1990,0.14152
1/12/1990,0.21546
1/1/1991,0.26046
1/2/1991,0.06496
1/3/1991,0
1/4/1991,0
1/5/1991,0.15665
1/6/1991,0.10973
1/7/1991,0
1/8/1991,0.15754
1/9/1991,0.05272
1/10/1991,0.10303
1/11/1991,0.10881
1/12/1991,0.20377
1/1/1992,0.05517
1/2/1992,0.11301
1/3/1992,0.15335
1/4/1992,0.16009
1/5/1992,0.15958
1/6/1992,0
1/7/1992,0.04956
1/8/1992,0.13175
1/9/1992,0.32807
1/10/1992,0.1477
1/11/1992,0.09634
1/12/1992,0.19431
1/1/1993,0.16933
1/2/1993,0.05962
1/3/1993,0.05499
1/4/1993,0.16361
1/5/1993,0.11481
1/6/1993,0.11315
1/7/1993,0.17176
1/8/1993,0.11373
1/9/1993,0.11532
1/10/1993,0.0515
1/11/1993,0.10722
1/12/1993,0.31839
1/1/1994,0.0517
1/2/1994,0.10713
1/3/1994,0.05137
1/4/1994,0.11481
1/5/1994,0.10126
1/6/1994,0
1/7/1994,0.05713
1/8/1994,0
1/9/1994,0.05629
1/10/1994,0
1/11/1994,0
1/12/1994,2.89612
1/1/1995,2.72111
1/2/1995,2.44971
1/3/1995,1.41916
1/4/1995,1.02792
1/5/1995,0.16239
1/6/1995,0.11555
1/7/1995,0.30433
1/8/1995,0.2868
1/9/1995,0.26932
1/10/1995,0.27409
1/11/1995,0.41221
1/12/1995,0.06061
1/1/1996,0.39749
1/2/1996,0.31384
1/3/1996,0.05814
1/4/1996,0.05851
1/5/1996,0.05567
1/6/1996,0.23951
1/7/1996,0.31237
1/8/1996,0.06259
1/9/1996,0.05543
1/10/1996,0.11099
1/11/1996,0.30036
1/12/1996,0.35626
1/1/1997,0.43854
1/2/1997,0.05488
1/3/1997,0.1053
1/4/1997,0.05549
1/5/1997,0.05241
1/6/1997,0
1/7/1997,0.28821
1/8/1997,0.15752
1/9/1997,0.69416
1/10/1997,2.20692
1/11/1997,2.70165
1/12/1997,3.94666
1/1/1998,6.07952
1/2/1998,2.45754
1/3/1998,1.1269
1/4/1998,1.2232
1/5/1998,1.50254
1/6/1998,2.39425
1/7/1998,2.56972
1/8/1998,5.74941
1/9/1998,6.75323
1/10/1998,5.24808
1/11/1998,3.28219
1/12/1998,1.77197
1/1/1999,2.93845
1/2/1999,1.23893
1/3/1999,1.01676
1/4/1999,1.58936
1/5/1999,1.39856
1/6/1999,1.4001
1/7/1999,1.33036
1/8/1999,1.65909
1/9/1999,1.18565
1/10/1999,0.99621
1/11/1999,1.26823
1/12/1999,0.47586
1/1/2000,1.05379
1/2/2000,0.35141
1/3/2000,0.90406
1/4/2000,1.03839
1/5/2000,0.62899
1/6/2000,0.51654
1/7/2000,0.55238
1/8/2000,0.53237
1/9/2000,0.58957
1/10/2000,0.9507
1/11/2000,1.00858
1/12/2000,1.20222
1/1/2001,1.26923
1/2/2001,0.5041
1/3/2001,1.20207
1/4/2001,0.52743
1/5/2001,0.32495
1/6/2001,0.27083
1/7/2001,0.67462
1/8/2001,0.66751
1/9/2001,1.42523
1/10/2001,0.5147
1/11/2001,0.57892
1/12/2001,0.77235
1/1/2002,0.47358
1/2/2002,0.40733
1/3/2002,0.67755
1/4/2002,0.4006
1/5/2002,0.2687
1/6/2002,0.52765
1/7/2002,1.90346
1/8/2002,1.11682
1/9/2002,0.81172
1/10/2002,1.07386
1/11/2002,0.56849
1/12/2002,0.50299
1/1/2003,0.27494
1/2/2003,0.24245
1/3/2003,0.53728
1/4/2003,0.53697
1/5/2003,0.64037
1/6/2003,0.58355
