DATE,HIS
1964-07-31,100.0
1964-08-31,98.81
1964-09-30,101.21
1964-11-30,101.42
1964-12-31,101.45
1965-03-31,91.49
1965-04-30,90.33
1965-05-31,85.23
1965-06-30,86.1
1965-08-31,84.26
1965-09-30,81.0
1965-11-30,77.95
1965-12-31,82.14
1966-01-31,84.82
1966-02-28,85.81
1966-03-31,83.05
1966-05-31,82.15
1966-06-30,83.77
1966-08-31,80.51
1966-09-30,79.57
1966-10-31,79.1
1966-11-30,81.25
1967-01-31,79.83
1967-02-28,79.12
1967-03-31,76.87
1967-05-31,66.73
1967-06-30,60.15
1967-07-31,63.08
1967-08-31,58.61
1967-10-31,67.2
1967-11-30,66.36
1968-01-31,67.57
1968-02-29,64.46
1968-04-30,67.12
1968-05-31,71.34
1968-07-31,82.77
1968-09-30,87.16
1968-10-31,98.15
1968-12-31,107.55
1969-01-31,116.51
1969-02-28,115.39
1969-03-31,112.53
1969-04-30,114.6
1969-06-30,119.76
1969-07-31,118.63
1969-09-30,141.41
1969-10-31,160.05
1969-11-24,158.5
1969-11-25,156.78
1969-11-26,155.35
1969-11-27,155.51
1969-11-28,157.01
1969-12-01,152.71
1969-12-02,150.98
1969-12-03,150.86
1969-12-04,149.73
1969-12-05,147.33
1969-12-08,149.19
1969-12-09,149.53
1969-12-10,149.04
1969-12-11,150.95
1969-12-12,152.25
1969-12-15,151.59
1969-12-16,150.47
1969-12-17,150.64
1969-12-18,150.24
1969-12-19,150.27
1969-12-22,150.56
1969-12-23,150.79
1969-12-24,151.75
1969-12-29,153.52
1969-12-30,155.47
1969-12-31,155.47
1970-01-02,155.38
1970-01-05,154.75
1970-01-06,155.45
1970-01-07,155.73
1970-01-08,156.96
1970-01-09,156.23
1970-01-12,156.68
1970-01-13,156.78
1970-01-14,156.23
1970-01-15,156.88
1970-01-16,157.84
1970-01-19,158.52
1970-01-20,159.16
1970-01-21,160.69
1970-01-22,161.06
1970-01-23,160.58
1970-01-26,160.06
1970-01-27,160.62
1970-01-28,160.79
1970-01-29,161.45
1970-01-30,164.11
1970-02-02,165.23
1970-02-03,164.89
1970-02-04,165.57
1970-02-05,167.29
1970-02-10,168.41
1970-02-11,168.49
1970-02-12,166.6
1970-02-13,166.22
1970-02-16,166.33
1970-02-17,166.67
1970-02-18,167.4
1970-02-19,167.41
1970-02-20,169.11
1970-02-23,171.46
1970-02-24,171.77
1970-02-25,171.42
1970-02-26,173.18
1970-02-27,174.06
1970-03-02,174.93
1970-03-03,174.6
1970-03-04,177.38
1970-03-05,179.8
1970-03-06,183.18
1970-03-09,190.63
1970-03-10,193.39
1970-03-11,189.57
1970-03-12,189.0
1970-03-13,191.3
1970-03-16,189.61
1970-03-17,187.62
1970-03-18,184.28
1970-03-19,184.44
1970-03-20,184.95
1970-03-23,180.89
1970-03-24,181.24
1970-03-25,180.94
1970-03-26,182.13
1970-03-31,179.63
1970-04-01,176.95
1970-04-02,176.83
1970-04-03,178.82
1970-04-07,179.56
1970-04-08,179.19
1970-04-09,180.17
1970-04-10,182.32
1970-04-13,183.78
1970-04-14,183.99
1970-04-15,186.56
1970-04-16,186.19
