DATE,NKY500
1972-01-04,223.7
1972-01-05,224.22
1972-01-06,225.17
1972-01-07,225.17
1972-01-10,225.9
1972-01-11,226.44
1972-01-12,229.02
1972-01-13,230.17
1972-01-14,231.41
1972-01-17,229.79
1972-01-18,230.25
1972-01-19,232.07
1972-01-20,232.97
1972-01-21,231.61
1972-01-24,229.91
1972-01-25,231.84
1972-01-26,234.44
1972-01-27,234.25
1972-01-28,237.45
1972-01-31,238.3
1972-02-01,237.68
1972-02-02,239.17
1972-02-03,240.66
1972-02-04,238.69
1972-02-07,239.95
1972-02-08,240.27
1972-02-09,238.51
1972-02-10,238.29
1972-02-14,239.15
1972-02-15,238.11
1972-02-16,238.11
1972-02-17,240.14
1972-02-18,242.44
1972-02-21,244.13
1972-02-22,247.4
1972-02-23,248.87
1972-02-24,249.53
1972-02-25,251.01
1972-02-28,253.59
1972-02-29,252.02
1972-03-01,250.83
1972-03-02,251.51
1972-03-03,250.21
1972-03-06,251.03
1972-03-07,252.32
1972-03-08,252.24
1972-03-09,249.71
1972-03-10,248.76
1972-03-13,243.9
1972-03-14,246.11
1972-03-15,244.09
1972-03-16,247.94
1972-03-17,249.61
1972-03-21,251.55
1972-03-22,252.33
1972-03-23,254.19
1972-03-24,254.04
1972-03-27,255.59
1972-03-28,254.98
1972-03-29,257.5
1972-03-30,257.7
1972-03-31,259.76
1972-04-03,260.57
1972-04-04,260.37
1972-04-05,257.87
1972-04-06,261.03
1972-04-07,263.5
1972-04-10,265.55
1972-04-11,266.45
1972-04-12,267.4
1972-04-13,269.03
1972-04-14,267.68
1972-04-17,260.87
1972-04-18,263.99
1972-04-19,262.99
1972-04-20,262.18
1972-04-21,260.69
1972-04-24,261.4
1972-04-25,262.15
1972-04-26,262.37
1972-04-27,265.05
1972-04-28,268.12
1972-05-01,268.89
1972-05-02,269.96
1972-05-04,271.04
1972-05-08,270.13
1972-05-09,267.93
1972-05-10,269.1
1972-05-11,271.86
1972-05-12,272.27
1972-05-15,273.72
1972-05-16,273.67
1972-05-17,277.1
1972-05-18,276.93
1972-05-19,275.63
1972-05-22,278.39
1972-05-23,281.18
1972-05-24,281.63
1972-05-25,284.17
1972-05-26,286.95
1972-05-29,290.58
1972-05-30,291.46
1972-05-31,293.82
1972-06-01,291.7
1972-06-02,293.73
1972-06-05,294.17
1972-06-06,292.06
1972-06-07,291.65
1972-06-08,291.79
1972-06-09,287.75
1972-06-12,289.53
1972-06-13,289.06
1972-06-14,289.78
1972-06-15,290.92
1972-06-16,291.73
1972-06-19,296.15
1972-06-20,296.7
1972-06-21,296.27
1972-06-22,294.82
1972-06-23,292.62
1972-06-26,269.77
1972-06-27,282.93
1972-06-28,288.48
1972-06-29,292.57
1972-06-30,296.78
1972-07-03,300.07
1972-07-04,298.21
1972-07-05,291.24
1972-07-06,293.94
1972-07-07,295.24
1972-07-10,295.5
1972-07-11,295.67
1972-07-12,295.6
1972-07-13,296.85
1972-07-14,298.18
1972-07-17,296.05
1972-07-18,297.41
1972-07-19,301.64
1972-07-20,302.6
1972-07-21,303.55
1972-07-24,303.17
1972-07-25,304.24
1972-07-26,304.58
1972-07-27,305.69
1972-07-28,309.5
1972-07-31,312.26
1972-08-01,312.83
1972-08-02,307.86
1972-08-03,313.29
1972-08-04,314.1
1972-08-07,315.18
1972-08-08,314.91
1972-08-09,313.19
1972-08-10,312.5
1972-08-11,314.26
1972-08-14,318.24
1972-08-15,318.43
1972-08-16,320.8
1972-08-17,321.11
1972-08-18,320.61
1972-08-21,320.14
1972-08-22,320.53
1972-08-23,321.65
1972-08-24,321.82
1972-08-25,319.11
