DATE,FSSTI
1999-08-31,2185.45
1999-09-01,2184.44
1999-09-02,2185.97
1999-09-03,2160.39
1999-09-06,2163.86
1999-09-07,2175.52
1999-09-08,2167.47
1999-09-09,2215.27
1999-09-10,2219.54
1999-09-13,2224.02
1999-09-14,2217.07
1999-09-15,2183.66
1999-09-16,2148.04
1999-09-17,2184.31
1999-09-20,2162.66
1999-09-21,2139.73
1999-09-22,2098.78
1999-09-23,2104.48
1999-09-24,2057.43
1999-09-27,2027.9
1999-09-28,2080.61
1999-09-29,2069.89
1999-09-30,2074.68
1999-10-01,2111.9
1999-10-04,2103.85
1999-10-05,2124.04
1999-10-06,2170.98
1999-10-07,2183.08
1999-10-08,2176.81
1999-10-11,2197.65
1999-10-12,2184.83
1999-10-13,2162.21
1999-10-14,2177.13
1999-10-15,2122.2
1999-10-18,2045.03
1999-10-19,2020.77
1999-10-20,2065.78
1999-10-21,2052.89
1999-10-22,2053.13
1999-10-25,2055.67
1999-10-26,2060.98
1999-10-27,2053.15
1999-10-28,2057.91
1999-10-29,2107.83
1999-11-01,2127.38
1999-11-02,2110.25
1999-11-03,2155.25
1999-11-04,2170.76
1999-11-05,2175.52
1999-11-09,2199.31
1999-11-10,2211.28
1999-11-11,2232.92
1999-11-12,2243.19
1999-11-15,2263.92
1999-11-16,2273.93
1999-11-17,2285.68
1999-11-18,2278.05
1999-11-19,2282.88
1999-11-22,2271.47
1999-11-23,2269.66
1999-11-24,2250.85
1999-11-25,2262.67
1999-11-26,2279.72
1999-11-29,2259.49
1999-11-30,2273.57
1999-12-01,2265.79
1999-12-02,2293.17
1999-12-03,2287.11
1999-12-06,2318.38
1999-12-07,2372.25
1999-12-08,2411.49
1999-12-09,2408.84
1999-12-10,2445.93
1999-12-13,2451.42
1999-12-14,2459.2
1999-12-15,2418.61
1999-12-16,2410.75
1999-12-17,2476.47
1999-12-20,2478.63
1999-12-21,2448.68
1999-12-22,2450.54
1999-12-23,2485.14
1999-12-24,2515.38
1999-12-27,2523.54
1999-12-28,2514.11
1999-12-29,2528.32
1999-12-30,2526.67
2000-01-03,2608.48
2000-01-04,2549.01
2000-01-05,2425.9
2000-01-06,2409.0
2000-01-07,2449.96
2000-01-10,2457.59
2000-01-11,2449.74
2000-01-12,2452.61
2000-01-13,2412.51
2000-01-14,2418.57
2000-01-17,2367.16
2000-01-18,2343.04
2000-01-19,2286.65
2000-01-20,2347.34
2000-01-21,2285.61
2000-01-24,2256.84
2000-01-25,2255.12
2000-01-26,2266.75
2000-01-27,2303.69
2000-01-28,2275.89
2000-01-31,2231.82
2000-02-01,2240.63
2000-02-02,2277.48
2000-02-03,2260.2
2000-02-04,2270.98
2000-02-08,2261.31
2000-02-09,2249.69
2000-02-10,2236.72
