DATE,STIOLD
1985-01-04,627.76
1985-01-07,622.27
1985-01-08,616.56
1985-01-09,602.55
1985-01-10,613.5
1985-01-11,615.13
1985-01-14,614.44
1985-01-15,612.42
1985-01-16,607.13
1985-01-17,613.85
1985-01-18,616.39
1985-01-21,613.25
1985-01-22,614.58
1985-01-23,615.08
1985-01-24,617.98
1985-01-25,623.99
1985-01-28,642.36
1985-01-29,657.25
1985-01-30,661.33
1985-01-31,673.09
1985-02-01,672.54
1985-02-04,669.53
1985-02-05,665.95
1985-02-06,656.79
1985-02-07,658.08
1985-02-08,661.02
1985-02-11,655.84
1985-02-12,653.33
1985-02-13,652.53
1985-02-14,651.45
1985-02-15,651.79
1985-02-18,653.85
1985-02-25,656.19
1985-02-26,661.47
1985-02-27,668.11
1985-02-28,672.8
1985-03-01,679.72
1985-03-04,690.0
1985-03-05,684.48
1985-03-06,684.9
1985-03-07,682.01
1985-03-08,682.33
1985-03-11,672.67
1985-03-12,667.51
1985-03-13,663.03
1985-03-14,666.79
1985-03-15,668.54
1985-03-18,664.38
1985-03-19,666.57
1985-03-20,665.88
1985-03-21,663.54
1985-03-22,660.93
1985-03-25,666.4
1985-03-26,663.41
1985-03-27,653.99
1985-03-28,659.26
1985-03-29,655.39
1985-04-01,654.01
1985-04-02,649.12
1985-04-03,650.23
1985-04-04,656.58
1985-04-08,654.52
1985-04-09,652.2
1985-04-10,646.04
1985-04-11,645.72
1985-04-12,642.33
1985-04-15,635.74
1985-04-16,637.22
1985-04-17,634.87
1985-04-18,634.84
1985-04-19,633.17
1985-04-22,626.21
1985-04-23,630.1
1985-04-24,632.57
1985-04-25,632.14
1985-04-26,630.04
1985-04-29,628.48
1985-04-30,625.94
1985-05-02,626.1
1985-05-03,625.93
1985-05-06,623.06
1985-05-07,622.39
1985-05-08,622.9
1985-05-09,626.14
1985-05-10,632.14
1985-05-13,634.27
1985-05-14,639.83
1985-05-15,644.63
1985-05-16,653.74
1985-05-17,656.21
1985-05-20,659.11
1985-05-21,655.33
1985-05-22,654.06
1985-05-23,653.02
1985-05-24,652.2
1985-05-27,646.72
1985-05-28,647.02
1985-05-29,649.06
1985-05-30,651.31
1985-05-31,646.43
1985-06-04,640.76
1985-06-05,645.03
1985-06-06,640.05
1985-06-07,628.22
1985-06-10,633.0
1985-06-11,630.24
1985-06-12,622.24
1985-06-13,618.11
1985-06-14,612.91
1985-06-17,612.97
1985-06-18,615.55
1985-06-19,614.75
1985-06-21,616.48
1985-06-24,620.22
1985-06-25,619.88
1985-06-26,613.96
1985-06-27,613.23
1985-06-28,612.4
1985-07-01,603.22
1985-07-02,597.9
1985-07-03,597.45
1985-07-04,597.07
1985-07-05,581.82
1985-07-08,578.98
1985-07-09,581.03
1985-07-10,581.06
1985-07-11,573.75
1985-07-12,564.92
1985-07-15,555.96
1985-07-16,557.27
1985-07-17,559.9
1985-07-18,567.16
1985-07-19,578.8
1985-07-22,585.7
1985-07-23,589.18
1985-07-24,585.27
1985-07-25,583.82
1985-07-26,588.84
1985-07-29,587.96
1985-07-30,583.03
1985-07-31,582.06
1985-08-01,577.61
1985-08-02,579.69
1985-08-05,565.88
1985-08-06,564.07
1985-08-07,565.38
1985-08-08,564.26
1985-08-12,560.09
1985-08-13,551.64
1985-08-14,554.56
1985-08-15,554.35
1985-08-16,557.41
1985-08-19,556.37
1985-08-20,552.98
1985-08-21,554.25
1985-08-22,550.83
1985-08-23,546.25
1985-08-27,543.31
1985-08-28,541.98
1985-08-29,544.94
1985-08-30,551.09
1985-09-02,552.91
1985-09-03,549.93
1985-09-04,549.48
1985-09-05,554.15
1985-09-06,554.1
1985-09-09,551.06
1985-09-10,550.64
1985-09-11,549.67
1985-09-12,549.86
1985-09-13,549.57
1985-09-16,548.62
1985-09-17,552.96
1985-09-18,563.45
1985-09-19,574.93
1985-09-20,581.73
1985-09-23,581.17
1985-09-24,581.77
1985-09-25,581.96
1985-09-26,587.52
1985-09-27,588.26
1985-09-30,582.96
1985-10-01,578.88
1985-10-02,576.65
1985-10-03,577.6
1985-10-04,578.71
1985-10-07,574.05
1985-10-08,571.45
1985-10-09,572.37
1985-10-10,572.39
1985-10-11,570.58
1985-10-14,565.88
1985-10-15,568.52
1985-10-16,572.73
1985-10-17,578.09
1985-10-18,588.55
1985-10-21,595.92
1985-10-22,592.19
1985-10-23,593.93
1985-10-24,597.18
1985-10-25,597.41
1985-10-28,589.6
1985-10-29,589.42
1985-10-30,586.32
1985-10-31,589.11
1985-11-01,599.19
1985-11-04,598.84
1985-11-05,601.61
1985-11-06,608.52
1985-11-07,619.33
1985-11-08,616.63
1985-11-12,609.3
1985-11-13,608.59
1985-11-14,605.95
1985-11-15,607.11
1985-11-18,605.98
1985-11-19,603.97
1985-11-20,595.91
1985-11-21,584.91
1985-11-22,578.87
1985-11-25,577.83
1985-11-26,572.32
1985-11-27,556.85
1985-11-28,556.89
1985-11-29,555.39
1985-12-05,498.62
1985-12-06,518.91
1985-12-09,532.61
1985-12-10,532.07
1985-12-11,524.39
1985-12-12,522.95
1985-12-13,528.11
1985-12-16,519.11
1985-12-17,515.39
1985-12-18,500.48
1985-12-19,484.79
1985-12-20,481.76
1985-12-23,479.42
1985-12-26,487.14
1985-12-27,491.14
1985-12-30,499.73
1986-01-02,489.29
1986-01-03,491.26
1986-01-06,495.82
1986-01-07,503.91
1986-01-08,517.67
1986-01-09,513.97
1986-01-10,510.86
1986-01-13,508.46
1986-01-14,505.73
1986-01-15,504.81
1986-01-16,500.14
1986-01-17,494.76
1986-01-20,480.18
1986-01-21,484.14
1986-01-22,474.57
1986-01-23,473.85
1986-01-24,483.07
1986-01-27,484.8
1986-01-28,489.81
1986-01-29,484.74
1986-01-30,486.76
1986-01-31,489.15
1986-02-03,496.85
1986-02-04,503.06
1986-02-05,507.11
1986-02-06,500.04
1986-02-07,503.14
1986-02-12,508.51
1986-02-13,510.59
1986-02-14,510.38
1986-02-17,510.55
1986-02-18,513.5
1986-02-19,518.63
1986-02-20,527.89
1986-02-21,530.44
1986-02-24,522.33
1986-02-25,520.67
1986-02-26,519.07
1986-02-27,519.63
1986-02-28,515.95
1986-03-03,515.66
1986-03-04,512.03
1986-03-05,506.93
1986-03-06,502.37
1986-03-07,496.66
1986-03-10,490.49
1986-03-11,490.82
1986-03-12,489.61
1986-03-13,475.64
1986-03-14,468.19
1986-03-17,465.71
1986-03-18,464.06
1986-03-19,463.01
1986-03-20,466.76
1986-03-21,468.88
1986-03-24,472.09
1986-03-25,479.2
1986-03-26,483.25
1986-03-27,477.9
1986-03-31,475.07
1986-04-01,476.8
1986-04-02,479.06
1986-04-03,474.73
1986-04-04,472.83
1986-04-07,469.86
1986-04-08,469.17
1986-04-09,467.65
1986-04-10,465.17
1986-04-11,464.9
1986-04-14,456.44
1986-04-15,456.35
1986-04-16,457.77
1986-04-17,468.7
1986-04-18,477.43
1986-04-21,480.52
1986-04-22,479.91
1986-04-23,472.69
1986-04-24,470.23
1986-04-25,466.38
1986-04-28,462.35
1986-04-29,470.95
1986-04-30,465.15
1986-05-02,468.15
1986-05-05,473.4
