DATE,I13284US Index
1999-01-29,157.664749
1999-02-26,154.28537
1999-03-31,151.037354
1999-04-30,149.273956
1999-05-28,155.117188
1999-06-30,159.15448
1999-07-30,166.584045
1999-08-31,180.9245
1999-09-30,179.488281
1999-10-29,168.45253
1999-11-30,165.321152
1999-12-31,159.833191
2000-01-31,165.706314
2000-02-29,188.339172
2000-03-31,216.396744
2000-04-28,235.336273
2000-05-31,238.075989
2000-06-30,224.826096
2000-07-31,221.607346
2000-08-31,232.48587
2000-09-29,231.104462
2000-10-31,246.77739
2000-11-30,264.185699
2000-12-29,265.442993
2001-01-31,222.501907
2001-02-28,237.28714
2001-03-30,233.317871
2001-04-30,216.568939
2001-05-31,206.530563
2001-06-29,207.425171
2001-07-31,203.752274
2001-08-31,208.430206
2001-09-28,243.58049
2001-10-31,246.323013
2001-11-30,232.514191
2001-12-31,220.195175
2002-01-31,213.676224
2002-02-28,217.754837
2002-03-29,209.435852
2002-04-30,228.952682
2002-05-31,203.291183
2002-06-28,228.727249
2002-07-31,271.020233
2002-08-30,262.232666
2002-09-30,278.450195
2002-10-31,270.61618
2002-11-29,227.676117
2002-12-31,218.636551
2003-01-31,209.709137
2003-02-28,204.43602
2003-03-31,198.538208
2003-04-30,172.68544
2003-05-30,171.414505
2003-06-30,171.002502
2003-07-31,166.116165
2003-08-29,164.229965
2003-09-30,155.569382
2003-10-31,146.349579
2003-11-28,142.020035
2003-12-31,136.698517
2004-01-30,137.138641
2004-02-27,137.904327
2004-03-31,141.070694
2004-04-30,138.783722
2004-05-31,142.713486
2004-06-30,145.093292
2004-07-30,141.220001
2004-08-31,140.149445
2004-09-30,136.649719
2004-10-29,135.830719
2004-11-30,129.976868
2004-12-31,123.959877
2005-01-31,125.524918
2005-02-28,124.399345
2005-03-31,141.579346
2005-04-29,149.585846
2005-05-31,128.427216
2005-06-30,139.39801
2005-07-29,132.205811
2005-08-31,127.266975
2005-09-30,131.186203
2005-10-31,136.897934
2005-11-30,137.904205
2005-12-30,138.41275
2006-01-31,135.356369
2006-02-01,135.452286
2006-02-02,135.27739
2006-02-03,135.517303
2006-02-06,136.147476
2006-02-07,137.160522
2006-02-08,137.179565
2006-02-09,137.015182
2006-02-10,147.700058
2006-02-13,146.923187
2006-02-14,136.779846
2006-02-15,135.2715
2006-02-16,135.113495
2006-02-17,134.873947
2006-02-21,134.71167
2006-02-22,134.78273
2006-02-23,134.34996
2006-02-24,134.078476
2006-02-27,133.925537
2006-02-28,134.552689
2006-03-01,135.470779
2006-03-02,135.654327
2006-03-03,136.036591
2006-03-06,136.155792
2006-03-07,136.387543
2006-03-08,136.654892
2006-03-09,135.912399
2006-03-10,136.748718
2006-03-13,136.563507
2006-03-14,136.411377
2006-03-15,135.315689
2006-03-16,134.9729
2006-03-17,135.122086
2006-03-20,134.868423
2006-03-21,134.648148
2006-03-22,134.472397
2006-03-23,134.709
2006-03-24,134.914978
2006-03-27,134.967209
2006-03-28,135.012161
2006-03-29,135.663757
2006-03-30,135.857193
2006-03-31,135.437881
2006-04-03,135.355072
2006-04-04,135.447968
2006-04-05,135.267334
2006-04-06,135.589951
2006-04-07,135.625168
2006-04-10,135.37764
2006-04-11,135.133774
2006-04-12,135.336563
2006-04-13,135.219925
2006-04-17,134.744934
2006-04-18,134.443405
2006-04-19,134.043961
2006-04-20,133.265076
2006-04-21,132.780838
2006-04-24,131.702209
2006-04-25,131.743744
2006-04-26,131.251953
2006-04-27,130.438843
2006-04-28,129.07402
2006-05-01,128.309875
2006-05-02,127.450439
2006-05-03,127.085861
2006-05-04,126.982536
2006-05-05,127.544991
2006-05-08,127.053894
2006-05-09,127.169518
2006-05-10,127.085365
2006-05-11,127.31147
2006-05-12,128.712753
2006-05-15,129.703598
2006-05-16,131.530701
2006-05-17,132.775513
2006-05-18,133.796936
2006-05-19,133.781281
2006-05-22,134.719086
2006-05-23,134.814362
2006-05-24,135.945175
2006-05-25,136.041809
2006-05-26,135.02475
2006-05-30,136.370087
2006-05-31,136.939514
2006-06-01,136.560654
2006-06-02,135.766342
2006-06-05,136.085358
2006-06-06,136.914154
2006-06-07,136.925659
2006-06-08,137.29274
2006-06-09,137.28392
2006-06-12,137.855042
2006-06-13,138.854904
2006-06-14,140.233398
2006-06-15,142.772781
2006-06-16,143.12051400000001
2006-06-19,143.212112
2006-06-20,143.770782
2006-06-21,144.640717
2006-06-22,145.042099
2006-06-23,145.482132
2006-06-26,144.603027
2006-06-27,145.864777
2006-06-28,145.979813
2006-06-29,144.922607
2006-06-30,145.748428
2006-07-03,145.60083
2006-07-05,146.16095
2006-07-06,145.990967
2006-07-07,145.077072
2006-07-10,145.091354
2006-07-11,144.870255
2006-07-12,145.110031
2006-07-13,145.881744
2006-07-14,147.587006
2006-07-17,148.289841
2006-07-18,148.559402
2006-07-19,147.332138
2006-07-20,146.147171
2006-07-21,146.362442
2006-07-24,145.914139
2006-07-25,146.001541
2006-07-26,145.467468
2006-07-27,144.579849
2006-07-28,142.582932
2006-07-31,143.231628
2006-08-01,143.079971
2006-08-02,143.123383
2006-08-03,142.781479
2006-08-04,142.706589
2006-08-07,142.162308
2006-08-08,142.448792
2006-08-09,142.252258
2006-08-10,141.976303
2006-08-11,142.119934
2006-08-14,146.108749
2006-08-15,145.058167
2006-08-16,144.937668
2006-08-17,144.888046
2006-08-18,144.556213
2006-08-21,144.295868
2006-08-22,144.157455
2006-08-23,144.211441
2006-08-24,144.447311
2006-08-25,144.378067
2006-08-28,143.299911
2006-08-29,144.072266
2006-08-30,144.388687
2006-08-31,144.291016
2006-09-01,144.379974
2006-09-05,144.143234
2006-09-06,144.016113
2006-09-07,143.561295
2006-09-08,143.950912
2006-09-11,144.004562
2006-09-12,143.574219
2006-09-13,143.461868
2006-09-14,143.630585
2006-09-15,142.761383
2006-09-18,142.873016
2006-09-19,142.950897
2006-09-20,143.003586
2006-09-21,143.088043
2006-09-22,143.925507
2006-09-25,144.056885
2006-09-26,143.844727
2006-09-27,143.202652
2006-09-28,143.473618
2006-09-29,143.616135
2006-10-02,144.403442
2006-10-03,144.3069
2006-10-04,144.178131
2006-10-05,143.7715
2006-10-06,143.887909
2006-10-10,143.706924
2006-10-11,143.838837
2006-10-12,143.042038
2006-10-13,142.1035
2006-10-16,141.896118
2006-10-17,141.637512
2006-10-18,141.286758
2006-10-19,140.806015
2006-10-20,140.570999
2006-10-23,141.341782
2006-10-24,141.101517
2006-10-25,140.15831
2006-10-26,139.480774
2006-10-27,139.601639
2006-10-30,139.426758
2006-10-31,140.045273
2006-11-01,139.753448
2006-11-02,139.700958
2006-11-03,139.393692
2006-11-06,138.054169
2006-11-07,136.93306
2006-11-08,137.237564
2006-11-09,136.529495
2006-11-10,135.841095
2006-11-13,135.859344
2006-11-14,135.586349
2006-11-15,137.134125
2006-11-16,136.46907
2006-11-17,135.133957
2006-11-20,135.002426
2006-11-21,133.664429
2006-11-22,133.68251
2006-11-24,137.550278
2006-11-27,138.181168
2006-11-28,139.110245
2006-11-29,138.275925
2006-11-30,138.443878
