DATE,I13282US Index
1999-01-29,134.7162
1999-02-26,130.7571
1999-03-31,132.5195
1999-04-30,122.1744
1999-05-28,130.515
1999-06-30,135.7034
1999-07-30,146.8925
1999-08-31,159.5223
1999-09-30,159.1113
1999-10-29,146.7405
1999-11-30,140.6431
1999-12-31,141.7182
2000-01-31,132.7273
2000-02-29,136.4013
2000-03-31,158.0474
2000-04-28,162.6662
2000-05-31,178.0464
2000-06-30,181.5467
2000-07-31,174.9974
2000-08-31,173.9525
2000-09-29,176.0404
2000-10-31,192.3683
2000-11-30,217.5385
2000-12-29,227.4203
2001-01-31,203.5728
2001-02-28,205.48
2001-03-30,208.8915
2001-04-30,199.8703
2001-05-31,193.5518
2001-06-29,192.5761
2001-07-31,196.4287
2001-08-31,204.0619
2001-09-28,272.4609
2001-10-31,269.5041
2001-11-30,265.3052
2001-12-31,245.7125
2002-01-31,250.9244
2002-02-28,226.1802
2002-03-29,220.093
2002-04-30,225.4921
2002-05-31,195.5441
2002-06-28,236.4261
2002-07-31,291.719
2002-08-30,276.1947
2002-09-30,298.2781
2002-10-31,310.4622
2002-11-29,244.8733
2002-12-31,234.0061
2003-01-31,215.1697
2003-02-28,206.4008
2003-03-31,203.0676
2003-04-30,174.9206
2003-05-30,163.5336
2003-06-30,164.2209
2003-07-31,166.9373
2003-08-29,156.3015
2003-09-30,145.6047
2003-10-31,134.6812
2003-11-28,126.274
2003-12-31,120.8522
2004-01-30,121.5403
2004-02-27,128.3818
2004-03-31,135.3828
2004-04-30,130.1084
2004-05-31,136.6729
2004-06-30,131.9145
2004-07-30,126.1258
2004-08-31,124.2456
2004-09-30,118.8721
2004-10-29,118.558
2004-11-30,107.845
2004-12-31,102.8063
2005-01-31,95.2582
2005-02-28,90.4198
2005-03-31,108.0616
2005-04-29,120.6623
2005-05-31,91.9461
2005-06-30,96.6459
2005-07-29,84.6091
2005-08-31,90.146
2005-09-30,92.9131
2005-10-31,97.9756
2005-11-30,100.2348
2005-12-30,90.1277
2006-01-31,92.456
2006-02-01,92.0288
2006-02-02,92.0887
2006-02-03,91.3249
2006-02-06,90.7298
2006-02-07,92.1255
2006-02-08,91.3174
2006-02-09,91.1891
2006-02-10,90.7878
2006-02-13,90.2594
2006-02-14,89.8359
2006-02-15,88.1827
2006-02-16,88.1786
2006-02-17,87.5497
2006-02-21,86.6496
2006-02-22,85.6241
2006-02-23,84.4634
2006-02-24,84.3609
2006-02-27,84.2466
2006-02-28,83.2938
2006-03-01,84.9907
2006-03-02,85.5572
2006-03-03,86.2182
2006-03-06,86.5385
2006-03-07,86.0622
2006-03-08,86.7973
2006-03-09,86.1582
2006-03-10,86.6821
2006-03-13,87.2664
2006-03-14,88.3325
2006-03-15,91.407
2006-03-16,91.5818
2006-03-17,91.918
2006-03-20,91.0607
2006-03-21,89.7641
2006-03-22,89.3645
2006-03-23,89.042
2006-03-24,89.2136
2006-03-27,89.0392
2006-03-28,88.5319
2006-03-29,89.0276
2006-03-30,90.9588
2006-03-31,91.6513
2006-04-03,91.4175
2006-04-04,92.3889
2006-04-05,91.8118
2006-04-06,91.9244
2006-04-07,92.2598
2006-04-10,91.9696
