DATE,USGG10YR Index
1962-01-02,4.06
1962-01-03,4.03
1962-01-04,3.99
1962-01-05,4.022
1962-01-08,4.032
1962-01-09,4.052
1962-01-10,4.072
1962-01-11,4.082
1962-01-12,4.082
1962-01-15,4.102
1962-01-16,4.132
1962-01-17,4.122
1962-01-18,4.112
1962-01-19,4.112
1962-01-22,4.092
1962-01-23,4.112
1962-01-24,4.102
1962-01-25,4.112
1962-01-26,4.112
1962-01-29,4.122
1962-01-30,4.112
1962-01-31,4.102
1962-02-01,4.092
1962-02-02,4.082
1962-02-05,4.072
1962-02-06,4.062
1962-02-07,4.072
1962-02-08,4.072
1962-02-09,4.052
1962-02-13,4.032
1962-02-14,4.032
1962-02-15,4.022
1962-02-16,4.022
1962-02-19,4.102
1962-02-20,4.052
1962-02-21,4.032
1962-02-23,4.022
1962-02-26,4.002
1962-02-27,4.012
1962-02-28,4.002
1962-03-01,3.982
1962-03-02,3.982
1962-03-05,4.002
1962-03-06,4.012
1962-03-07,4.002
1962-03-08,3.982
1962-03-09,3.962
1962-03-12,3.942
1962-03-13,3.922
1962-03-14,3.932
1962-03-15,3.962
1962-03-16,3.962
1962-03-19,3.932
1962-03-20,3.912
1962-03-21,3.862
1962-03-22,3.832
1962-03-23,3.872
1962-03-26,3.892
1962-03-27,3.902
1962-03-28,3.902
1962-03-29,3.902
1962-03-30,3.862
1962-04-02,3.862
1962-04-03,3.832
1962-04-04,3.782
1962-04-05,3.842
1962-04-06,3.812
1962-04-09,3.832
1962-04-10,3.832
1962-04-11,3.872
1962-04-12,3.862
1962-04-13,3.852
1962-04-16,3.832
1962-04-17,3.822
1962-04-18,3.812
1962-04-19,3.822
1962-04-23,3.862
1962-04-24,3.872
1962-04-25,3.882
1962-04-26,3.892
1962-04-27,3.862
1962-04-30,3.862
1962-05-01,3.852
1962-05-02,3.862
1962-05-03,3.862
1962-05-04,3.872
1962-05-07,3.862
1962-05-08,3.852
1962-05-09,3.822
1962-05-10,3.832
1962-05-11,3.822
