DATE,USGG12M Index
1959-07-15,4.52
1959-07-16,4.51
1959-07-17,4.49
1959-07-20,4.48
1959-07-21,4.43
1959-07-22,4.36
1959-07-23,4.23
1959-07-24,4.23
1959-07-27,4.22
1959-07-28,4.23
1959-07-29,4.24
1959-07-30,4.23
1959-07-31,4.23
1959-08-03,4.21
1959-08-04,4.18
1959-08-05,4.18
1959-08-06,4.2
1959-08-07,4.19
1959-08-10,4.19
1959-08-11,4.2
1959-08-12,4.19
1959-08-13,4.19
1959-08-14,4.19
1959-08-17,4.25
1959-08-18,4.34
1959-08-19,4.32
1959-08-20,4.32
1959-08-21,4.45
1959-08-24,4.5
1959-08-25,4.46
1959-08-26,4.41
1959-08-27,4.4
1959-08-28,4.45
1959-08-31,4.6
1959-09-01,4.64
1959-09-02,4.68
1959-09-03,4.67
1959-09-04,4.62
1959-09-08,4.68
1959-09-09,4.68
1959-09-10,4.72
1959-09-11,4.81
1959-09-14,4.94
1959-09-15,5.03
1959-09-16,4.96
1959-09-17,4.96
1959-09-18,4.88
1959-09-21,4.82
1959-09-22,4.83
1959-09-23,4.86
1959-09-24,4.82
1959-09-25,4.83
1959-09-28,5.0
1959-09-29,4.96
1959-09-30,4.96
1959-10-01,4.97
1959-10-02,4.87
1959-10-05,4.82
1959-10-06,4.74
1959-10-07,4.62
1959-10-08,4.59
1959-10-09,4.69
1959-10-13,4.75
1959-10-14,4.86
1959-10-15,4.85
1959-10-16,4.82
1959-10-19,4.76
1959-10-20,4.71
1959-10-21,4.64
1959-10-22,4.64
1959-10-23,4.56
1959-10-26,4.58
1959-10-27,4.57
1959-10-28,4.52
1959-10-29,4.49
1959-10-30,4.53
1959-11-02,4.48
1959-11-04,4.44
1959-11-05,4.4
1959-11-06,4.36
1959-11-09,4.45
1959-11-10,4.45
1959-11-12,4.4
1959-11-13,4.41
1959-11-16,4.65
1959-11-17,4.54
1959-11-18,4.54
1959-11-19,4.51
1959-11-20,4.51
1959-11-23,4.53
1959-11-24,4.64
1959-11-25,4.7
1959-11-27,4.75
1959-11-30,4.88
1959-12-01,4.99
1959-12-02,5.0
1959-12-03,5.01
1959-12-04,5.03
1959-12-07,5.01
1959-12-08,4.97
1959-12-09,4.94
1959-12-10,4.95
1959-12-11,4.97
1959-12-14,4.96
1959-12-15,4.94
1959-12-16,4.94
1959-12-17,4.98
1959-12-18,4.98
1959-12-21,5.02
1959-12-22,5.01
1959-12-23,5.01
